"","id","fiyat","oda_salon_sayisi","net_m2","bina_yasi","isinma_tipi","krediye_uygunluk","bulundugu_kat","banyo_sayisi","ilce","nüfus","eðitim","okuma_yazma_bilmeyen"
"3566",3566,2099000,5,178,12,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"2620",2620,535000,4,170,24,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4446",4446,345500,4,135,0,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"2447",2447,455000,4,111,5,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"3163",3163,790000,4,140,12,"Kombi","Uygun","8. Kat","2","Keçiören",938565,"Lise",1.43
"1644",1644,580000,4,115,35,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"744",744,319000,3,85,30,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4949",4949,615000,6,200,15,"Kombi","Uygun","5. Kat","3","Çankaya",925828,"Lisans",0.7
"3388",3388,325000,4,110,25,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2755",2755,735000,5,200,25,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"1848",1848,415000,4,130,35,"Merkezi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"3392",3392,465000,5,155,17,"Kombi","Uygun","Ara Kat","2","Keçiören",938565,"Lise",1.43
"3210",3210,243000,4,115,20,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"544",544,1500000,6,250,10,"Kombi","Uygun","Villa Katý","3","Çankaya",925828,"Lisans",0.7
"382",382,890000,6,200,15,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"4035",4035,375000,4,110,30,"Merkezi","Uygun","Kot 2","1","Çankaya",925828,"Lisans",0.7
"912",912,385000,4,110,25,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"3706",3706,195000,3,80,25,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"1459",1459,440000,4,120,31,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2146",2146,480000,4,115,0,"Kombi","Uygun","4. Kat","2","Sincan",549108,"Lise",1.44
"4759",4759,435000,4,120,18,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2747",2747,1600000,5,170,0,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"3600",3600,315000,4,115,20,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"1468",1468,1e+06,4,130,0,"Kombi","Uygun","Çatý Katý","2","Keçiören",938565,"Lise",1.43
"1345",1345,155000,3,98,10,"Kombi","Uygun","Yüksek Giriþ","1","Mamak",669465,"Lise",1.9
"1151",1151,515000,4,130,16,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"3045",3045,440000,4,100,35,"Merkezi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"2671",2671,439000,4,120,25,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4497",4497,270000,4,100,0,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"614",614,380000,4,90,45,"Merkezi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"18",18,315000,4,110,30,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2206",2206,455000,4,105,22,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3357",3357,395000,4,115,40,"Merkezi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"1241",1241,420000,4,125,4,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"630",630,195000,2,70,15,"Kombi","Uygun","Zemin","1","Çankaya",925828,"Lisans",0.7
"1690",1690,1100000,3,115,0,"Merkezi(PayÖlçer)","Uygun","Teras Katý","2","Keçiören",938565,"Lise",1.43
"4535",4535,1940000,5,209,0,"Merkezi(PayÖlçer)","Uygun","6. Kat","2","Keçiören",938565,"Lise",1.43
"1882",1882,315000,4,105,15,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4609",4609,270000,3,90,8,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4427",4427,1250000,5,180,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"2193",2193,340000,4,135,1,"Kombi","Uygun","2. Kat","2","Sincan",549108,"Lise",1.44
"700",700,444000,4,110,20,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"303",303,440000,4,138,14,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"1886",1886,335000,4,100,20,"Kombi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"3940",3940,243000,4,115,20,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"1125",1125,570000,4,115,40,"Merkezi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"770",770,430000,4,130,18,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2579",2579,2950000,6,235,2,"Merkezi(PayÖlçer)","Uygun","16. Kat","5","Çankaya",925828,"Lisans",0.7
"1773",1773,280000,2,40,0,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"1146",1146,875000,4,140,30,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4225",4225,349000,4,126,4,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"2547",2547,340000,4,110,0,"Merkezi(PayÖlçer)","Uygun","6. Kat","1","Sincan",549108,"Lise",1.44
"4024",4024,350000,4,105,0,"Merkezi(PayÖlçer)","Uygun","6. Kat","1","Sincan",549108,"Lise",1.44
"1354",1354,590000,5,170,0,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"985",985,375000,4,130,20,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"3871",3871,390000,4,115,37,"Kombi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"4862",4862,220000,3,90,20,"Kombi","Uygun","Zemin","1","Çankaya",925828,"Lisans",0.7
"4513",4513,279000,3,100,25,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"2350",2350,650000,4,145,14,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"1881",1881,450000,4,120,28,"Merkezi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"1330",1330,248000,4,110,20,"Kombi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"1115",1115,450000,4,120,15,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"2354",2354,730000,4,138,3,"Merkezi(PayÖlçer)","Uygun","5. Kat","1","Çankaya",925828,"Lisans",0.7
"1491",1491,640000,5,185,2,"Merkezi(PayÖlçer)","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"2533",2533,1e+06,4,135,0,"Kombi","Uygun","Çatý Katý","2","Çankaya",925828,"Lisans",0.7
"3364",3364,2299000,4,138,12,"Merkezi(PayÖlçer)","Uygun","21 ve üzeri","2","Çankaya",925828,"Lisans",0.7
"1955",1955,289000,4,110,0,"Merkezi(PayÖlçer)","Uygun deðil","3. Kat","1","Sincan",549108,"Lise",1.44
"3455",3455,2550000,5,225,0,"Merkezi","Uygun","3. Kat","4","Çankaya",925828,"Lisans",0.7
"1572",1572,105000,4,85,15,"Kombi","Uygun","Kot 1","1","Sincan",549108,"Lise",1.44
